STATIC_OPT
1.0000000000 -0.0000000000
0.9999383162 0.0000073674
0.9997532802 0.0000294943
0.9994449375 0.0000664532
0.9990133642 0.0001183592
0.9984586669 0.0001853559
0.9977809823 0.0002675867
0.9969804777 0.0003651455
0.9960573507 0.0004780002
0.9950118289 0.0006058901
0.9938441703 0.0007482046
0.9925546631 0.0009038575
0.9911436254 0.0010711884
0.9896114053 0.0012479228
0.9879583810 0.0014312328
0.9861849602 0.0016179275
0.9842915806 0.0018047889
0.9822787092 0.0019890376
0.9801468428 0.0021688812
0.9778965074 0.0023440627
0.9755282581 0.0025163082
0.9730426794 0.0026895679
0.9704403845 0.0028699691
0.9677220154 0.0030654454
0.9648882429 0.0032850633
0.9619397663 0.0035381293
0.9588773128 0.0038332082
0.9557016383 0.0041772018
0.9524135262 0.0045746292
0.9490137879 0.0050272106
0.9455032621 0.0055338022
0.9418828150 0.0060906659
0.9381533400 0.0066920059
0.9343157572 0.0073306707
0.9303710135 0.0079989065
0.9263200822 0.0086890592
0.9221639628 0.0093941464
0.9179036807 0.0101082558
0.9135402871 0.0108267586
0.9090748587 0.0115463540
0.9045084972 0.0122649789
0.8998423292 0.0129816260
0.8950775062 0.0136961119
0.8902152037 0.0144088334
0.8852566214 0.0151205384
0.8802029828 0.0158321301
0.8750555348 0.0165445134
0.8698155475 0.0172584844
0.8644843137 0.0179746614
0.8590631489 0.0186934496
0.8535533906 0.0194150338
0.8479563983 0.0201393908
0.8422735530 0.0208663153
0.8365062568 0.0215954545
0.8306559327 0.0223263451
0.8247240242 0.0230584520
0.8187119949 0.0237912046
0.8126213282 0.0245240296
0.8064535268 0.0252563796
0.8002101127 0.0259877563
0.7938926261 0.0267177292
0.7875026260 0.0274459478
0.7810416889 0.0281721501
0.7745114090 0.0288961644
0.7679133975 0.0296179085
0.7612492824 0.0303373829
0.7545207079 0.0310546625
0.7477293342 0.0317698837
0.7408768371 0.0324832310
0.7339649071 0.0331949209
0.7269952499 0.0339051858
0.7199695849 0.0346142585
0.7128896458 0.0353223563
0.7057571793 0.0360296671
0.6985739453 0.0367363375
0.6913417162 0.0374424629
0.6840622763 0.0381480800
0.6767374219 0.0388531624
0.6693689601 0.0395576180
0.6619587091 0.0402612906
0.6545084972 0.0409639618
