#      x          Cp  
     1.00000    0.29015
     0.99168    0.24608
     0.98043    0.21022
     0.96748    0.17965
     0.95320    0.15036
     0.93798    0.11702
     0.92213    0.08412
     0.90601    0.05659
     0.88971    0.03465
     0.87324    0.01661
     0.85663    0.00092
     0.83992   -0.01334
     0.82312   -0.02678
     0.80626   -0.03979
     0.78936   -0.05268
     0.77245   -0.06569
     0.75552   -0.07895
     0.73860   -0.09255
     0.72171   -0.10648
     0.70484   -0.12065
     0.68801   -0.13495
     0.67121   -0.14923
     0.65445   -0.16333
     0.63771   -0.17715
     0.62099   -0.19062
     0.60428   -0.20374
     0.58757   -0.21661
     0.57086   -0.22935
     0.55415   -0.24219
     0.53744   -0.25536
     0.52073   -0.26908
     0.50405   -0.28356
     0.48741   -0.29887
     0.47082   -0.31502
     0.45432   -0.33205
     0.43791   -0.35075
     0.42163   -0.37499
     0.40547   -0.41331
     0.38945   -0.45693
     0.37357   -0.47069
     0.35781   -0.48161
     0.34216   -0.49266
     0.32660   -0.50173
     0.31109   -0.50753
     0.29561   -0.50928
     0.28010   -0.50660
     0.26453   -0.49956
     0.24885   -0.48869
     0.23302   -0.47503
     0.21700   -0.46018
     0.20079   -0.44639
     0.18440   -0.43658
     0.16790   -0.43434
     0.15141   -0.44336
     0.13516   -0.46575
     0.11945   -0.50021
     0.10460   -0.54362
     0.09092   -0.59395
     0.07861   -0.64994
     0.06774   -0.70922
     0.05826   -0.76796
     0.05005   -0.82217
     0.04294   -0.86858
     0.03678   -0.90466
     0.03141   -0.92838
     0.02672   -0.93789
     0.02260   -0.93133
     0.01898   -0.90679
     0.01578   -0.86224
     0.01296   -0.79578
     0.01048   -0.70580
     0.00830   -0.59140
     0.00642   -0.45285
     0.00480   -0.29210
     0.00343   -0.11323
     0.00230    0.07746
     0.00141    0.27151
     0.00074    0.45942
     0.00029    0.63090
     0.00005    0.77730
     0.00001    0.89079
     0.00019    0.96958
     0.00064    0.99989
     0.00136    0.97789
     0.00237    0.91473
     0.00366    0.82894
     0.00521    0.73485
     0.00703    0.64265
     0.00912    0.55586
     0.01150    0.47658
     0.01420    0.40441
     0.01727    0.33883
     0.02074    0.27893
     0.02471    0.22383
     0.02926    0.17273
     0.03451    0.12499
     0.04060    0.08011
     0.04767    0.03779
     0.05587   -0.00206
     0.06530   -0.03934
     0.07597   -0.07386
     0.08779   -0.10551
     0.10059   -0.13438
     0.11414   -0.16074
     0.12824   -0.18495
     0.14273   -0.20726
     0.15747   -0.22775
     0.17238   -0.24626
     0.18739   -0.26252
     0.20248   -0.27611
     0.21762   -0.28665
     0.23281   -0.29382
     0.24806   -0.29743
     0.26339   -0.29743
     0.27880   -0.29397
     0.29431   -0.28737
     0.30994   -0.27806
     0.32571   -0.26660
     0.34162   -0.25361
     0.35767   -0.23969
     0.37387   -0.22541
     0.39021   -0.21122
     0.40669   -0.19749
     0.42327   -0.18444
     0.43995   -0.17219
     0.45672   -0.16079
     0.47354   -0.15025
     0.49041   -0.14052
     0.50731   -0.13157
     0.52423   -0.12333
     0.54118   -0.11575
     0.55813   -0.10877
     0.57510   -0.10235
     0.59208   -0.09649
     0.60905   -0.09118
     0.62603   -0.08642
     0.64299   -0.08223
     0.65992   -0.07859
     0.67682   -0.07544
     0.69366   -0.07272
     0.71046   -0.07030
     0.72719   -0.06810
     0.74387   -0.06618
     0.76050   -0.06509
     0.77711   -0.05888
     0.79371   -0.04011
     0.81032   -0.01968
     0.82698   -0.00333
     0.84369    0.01018
     0.86044    0.02304
     0.87715    0.03581
     0.89370    0.04729
     0.90997    0.05459
     0.92586    0.05414
     0.94102    0.04898
     0.95520    0.05881
     0.96849    0.10277
     0.98081    0.16136
     0.99176    0.20768
     1.00000    0.29015
