#      x          Cp  
     1.00000    0.29711
     0.99155    0.25174
     0.98013    0.21412
     0.96694    0.17955
     0.95237    0.14656
     0.93683    0.11313
     0.92077    0.08258
     0.90445    0.05721
     0.88797    0.03649
     0.87135    0.01900
     0.85462    0.00362
     0.83780   -0.01039
     0.82090   -0.02356
     0.80396   -0.03627
     0.78698   -0.04885
     0.76998   -0.06152
     0.75297   -0.07445
     0.73596   -0.08771
     0.71898   -0.10129
     0.70202   -0.11512
     0.68509   -0.12907
     0.66820   -0.14299
     0.65133   -0.15675
     0.63448   -0.17025
     0.61765   -0.18343
     0.60082   -0.19630
     0.58400   -0.20892
     0.56717   -0.22140
     0.55034   -0.23388
     0.53352   -0.24648
     0.51672   -0.25933
     0.49995   -0.27304
     0.48323   -0.29094
     0.46659   -0.32634
     0.45006   -0.39367
     0.43364   -0.41877
     0.41736   -0.43235
     0.40123   -0.44830
     0.38525   -0.46592
     0.36942   -0.48424
     0.35373   -0.50193
     0.33816   -0.51759
     0.32269   -0.52996
     0.30728   -0.53809
     0.29190   -0.54133
     0.27650   -0.53942
     0.26104   -0.53250
     0.24549   -0.52115
     0.22980   -0.50647
     0.21393   -0.49007
     0.19788   -0.47413
     0.18166   -0.46140
     0.16533   -0.45503
     0.14904   -0.45818
     0.13300   -0.47311
     0.11749   -0.50012
     0.10285   -0.53746
     0.08938   -0.58256
     0.07727   -0.63278
     0.06660   -0.68513
     0.05731   -0.73635
     0.04926   -0.78336
     0.04229   -0.82361
     0.03625   -0.85509
     0.03099   -0.87605
     0.02638   -0.88484
     0.02233   -0.87973
     0.01876   -0.85880
     0.01561   -0.81993
     0.01282   -0.76096
     0.01036   -0.67978
     0.00820   -0.57479
     0.00632   -0.44533
     0.00471   -0.29233
     0.00334   -0.11899
     0.00222    0.06894
     0.00134    0.26274
     0.00068    0.45230
     0.00025    0.62579
     0.00003    0.77368
     0.00002    0.88823
     0.00023    0.96642
     0.00067    0.99905
     0.00135    0.98649
     0.00228    0.93614
     0.00347    0.85983
     0.00491    0.76839
     0.00661    0.67168
     0.00857    0.57528
     0.01082    0.48350
     0.01337    0.39794
     0.01626    0.31950
     0.01954    0.24817
     0.02326    0.18363
     0.02749    0.12539
     0.03233    0.07290
     0.03788    0.02569
     0.04428   -0.01663
     0.05165   -0.05434
     0.06011   -0.08760
     0.06974   -0.11650
     0.08055   -0.14124
     0.09247   -0.16212
     0.10535   -0.17968
     0.11899   -0.19458
     0.13323   -0.20742
     0.14789   -0.21865
     0.16287   -0.22850
     0.17806   -0.23697
     0.19341   -0.24388
     0.20888   -0.24901
     0.22444   -0.25212
     0.24009   -0.25305
     0.25582   -0.25175
     0.27165   -0.24830
     0.28757   -0.24292
     0.30360   -0.23594
     0.31975   -0.22776
     0.33601   -0.21883
     0.35239   -0.20956
     0.36887   -0.20034
     0.38545   -0.19146
     0.40210   -0.18316
     0.41882   -0.17555
     0.43557   -0.16868
     0.45235   -0.16250
     0.46914   -0.15691
     0.48593   -0.15174
     0.50271   -0.14681
     0.51948   -0.14194
     0.53624   -0.13697
     0.55300   -0.13182
     0.56977   -0.12643
     0.58655   -0.12082
     0.60334   -0.11505
     0.62015   -0.10920
     0.63697   -0.10336
     0.65379   -0.09757
     0.67062   -0.09187
     0.68743   -0.08623
     0.70422   -0.08058
     0.72099   -0.07481
     0.73773   -0.06883
     0.75444   -0.06256
     0.77114   -0.05602
     0.78785   -0.04932
     0.80457   -0.04271
     0.82134   -0.03641
     0.83816   -0.03062
     0.85503   -0.02552
     0.87194   -0.01724
     0.88882    0.02960
     0.90557    0.06152
     0.92207    0.07634
     0.93807    0.08440
     0.95327    0.09587
     0.96744    0.12025
     0.98033    0.15824
     0.99160    0.20367
     1.00000    0.29711
