#      x          Cp  
     1.00000    0.28235
     0.99197    0.22427
     0.98213    0.19541
     0.97166    0.21297
     0.96077    0.23176
     0.94963    0.22371
     0.93771    0.18833
     0.92463    0.13311
     0.91069    0.07901
     0.89616    0.04163
     0.88100    0.01982
     0.86519    0.00639
     0.84883   -0.00414
     0.83208   -0.01441
     0.81509   -0.02538
     0.79801   -0.03736
     0.78090   -0.05049
     0.76377   -0.06488
     0.74663   -0.08060
     0.72947   -0.09763
     0.71232   -0.11584
     0.69521   -0.13501
     0.67817   -0.15481
     0.66121   -0.17492
     0.64433   -0.19499
     0.62753   -0.21470
     0.61079   -0.23376
     0.59411   -0.25192
     0.57748   -0.26900
     0.56088   -0.28489
     0.54431   -0.29986
     0.52777   -0.31563
     0.51125   -0.33879
     0.49478   -0.38114
     0.47834   -0.42216
     0.46196   -0.43044
     0.44565   -0.44221
     0.42942   -0.45559
     0.41327   -0.46963
     0.39722   -0.48359
     0.38126   -0.49666
     0.36539   -0.50804
     0.34960   -0.51691
     0.33387   -0.52254
     0.31818   -0.52432
     0.30249   -0.52183
     0.28677   -0.51492
     0.27098   -0.50374
     0.25508   -0.48883
     0.23902   -0.47117
     0.22278   -0.45222
     0.20632   -0.43402
     0.18967   -0.41915
     0.17286   -0.41074
     0.15602   -0.41208
     0.13934   -0.42570
     0.12310   -0.45199
     0.10763   -0.48899
     0.09328   -0.53408
     0.08029   -0.58487
     0.06881   -0.63857
     0.05883   -0.69177
     0.05022   -0.74122
     0.04284   -0.78452
     0.03648   -0.82009
     0.03100   -0.84685
     0.02623   -0.86384
     0.02207   -0.86994
     0.01843   -0.86370
     0.01522   -0.84307
     0.01239   -0.80541
     0.00990   -0.74731
     0.00772   -0.66475
     0.00582   -0.55346
     0.00420   -0.40984
     0.00285   -0.23266
     0.00177   -0.02586
     0.00095    0.19992
     0.00039    0.42553
     0.00008    0.62996
     0.00000    0.79307
     0.00015    0.91226
     0.00053    0.98196
     0.00117    0.99943
     0.00207    0.97085
     0.00324    0.90892
     0.00467    0.82692
     0.00638    0.73628
     0.00837    0.64430
     0.01066    0.55580
     0.01328    0.47286
     0.01628    0.39647
     0.01969    0.32660
     0.02361    0.26287
     0.02811    0.20467
     0.03332    0.15131
     0.03938    0.10216
     0.04645    0.05665
     0.05466    0.01432
     0.06414   -0.02511
     0.07491   -0.06183
     0.08688   -0.09601
     0.09984   -0.12785
     0.11358   -0.15761
     0.12787   -0.18554
     0.14253   -0.21173
     0.15743   -0.23612
     0.17249   -0.25844
     0.18764   -0.27833
     0.20286   -0.29534
     0.21812   -0.30907
     0.23344   -0.31919
     0.24880   -0.32553
     0.26424   -0.32808
     0.27976   -0.32702
     0.29537   -0.32267
     0.31110   -0.31549
     0.32694   -0.30604
     0.34291   -0.29490
     0.35901   -0.28264
     0.37523   -0.26976
     0.39155   -0.25667
     0.40798   -0.24367
     0.42448   -0.23092
     0.44104   -0.21851
     0.45766   -0.20642
     0.47431   -0.19459
     0.49098   -0.18298
     0.50768   -0.17153
     0.52440   -0.16028
     0.54116   -0.14933
     0.55796   -0.13885
     0.57481   -0.12899
     0.59174   -0.11980
     0.60874   -0.11127
     0.62581   -0.10355
     0.64293   -0.07994
     0.66002   -0.02636
     0.67706   -0.00180
     0.69404    0.00797
     0.71098    0.01370
     0.72790    0.01800
     0.74483    0.02124
     0.76179    0.02350
     0.77881    0.02494
     0.79591    0.02594
     0.81306    0.02704
     0.83023    0.02894
     0.84736    0.03236
     0.86441    0.03778
     0.88131    0.04469
     0.89789    0.05035
     0.91400    0.04901
     0.92943    0.03563
     0.94373    0.02053
     0.95691    0.03727
     0.96936    0.10198
     0.98111    0.17197
     0.99177    0.21633
     1.00000    0.28235
