#      x          Cp  
     1.00000    0.30139
     0.99175    0.26165
     0.98106    0.22470
     0.96911    0.17102
     0.95614    0.11652
     0.94228    0.08581
     0.92738    0.07315
     0.91160    0.06187
     0.89529    0.04634
     0.87865    0.02847
     0.86185    0.01074
     0.84499   -0.00572
     0.82810   -0.02080
     0.81120   -0.03484
     0.79428   -0.04823
     0.77735   -0.06128
     0.76041   -0.07421
     0.74349   -0.08714
     0.72658   -0.10010
     0.70969   -0.11301
     0.69282   -0.12577
     0.67598   -0.13823
     0.65916   -0.15022
     0.64235   -0.16163
     0.62554   -0.17239
     0.60873   -0.18246
     0.59189   -0.19192
     0.57504   -0.20085
     0.55815   -0.20938
     0.54124   -0.21760
     0.52431   -0.22552
     0.50738   -0.23352
     0.49047   -0.24473
     0.47359   -0.27751
     0.45679   -0.36799
     0.44008   -0.38112
     0.42350   -0.39396
     0.40706   -0.40806
     0.39077   -0.42392
     0.37465   -0.44186
     0.35868   -0.46130
     0.34286   -0.48094
     0.32717   -0.49926
     0.31158   -0.51492
     0.29606   -0.52697
     0.28059   -0.53482
     0.26512   -0.53830
     0.24962   -0.53764
     0.23406   -0.53355
     0.21841   -0.52715
     0.20266   -0.52003
     0.18683   -0.51417
     0.17097   -0.51175
     0.15516   -0.51489
     0.13956   -0.52522
     0.12436   -0.54345
     0.10980   -0.56910
     0.09613   -0.60062
     0.08356   -0.63558
     0.07223   -0.67103
     0.06219   -0.70410
     0.05341   -0.73246
     0.04578   -0.75459
     0.03917   -0.76966
     0.03344   -0.77724
     0.02845   -0.77699
     0.02408   -0.76846
     0.02026   -0.75091
     0.01688   -0.72317
     0.01391   -0.68354
     0.01128   -0.62975
     0.00897   -0.55884
     0.00694   -0.46736
     0.00519   -0.35161
     0.00369   -0.20875
     0.00245   -0.03822
     0.00147    0.15534
     0.00074    0.36101
     0.00027    0.56008
     0.00003    0.73350
     0.00002    0.86547
     0.00022    0.95478
     0.00065    0.99647
     0.00131    0.99224
     0.00222    0.94914
     0.00338    0.87801
     0.00479    0.78917
     0.00646    0.69249
     0.00839    0.59410
     0.01062    0.49903
     0.01315    0.40948
     0.01603    0.32693
     0.01931    0.25172
     0.02303    0.18377
     0.02727    0.12274
     0.03213    0.06815
     0.03771    0.01954
     0.04415   -0.02350
     0.05157   -0.06130
     0.06010   -0.09411
     0.06982   -0.12218
     0.08073   -0.14582
     0.09274   -0.16554
     0.10570   -0.18203
     0.11943   -0.19606
     0.13374   -0.20829
     0.14848   -0.21920
     0.16352   -0.22897
     0.17876   -0.23757
     0.19415   -0.24479
     0.20964   -0.25034
     0.22522   -0.25395
     0.24088   -0.25540
     0.25662   -0.25463
     0.27244   -0.25167
     0.28835   -0.24673
     0.30437   -0.24011
     0.32049   -0.23220
     0.33673   -0.22343
     0.35308   -0.21422
     0.36953   -0.20495
     0.38608   -0.19593
     0.40271   -0.18739
     0.41940   -0.17946
     0.43614   -0.17220
     0.45291   -0.16559
     0.46970   -0.15955
     0.48649   -0.15396
     0.50328   -0.14866
     0.52007   -0.14351
     0.53686   -0.13840
     0.55365   -0.13326
     0.57045   -0.12807
     0.58726   -0.12282
     0.60407   -0.11759
     0.62088   -0.11241
     0.63770   -0.10732
     0.65450   -0.10235
     0.67128   -0.09743
     0.68803   -0.09248
     0.70474   -0.08732
     0.72141   -0.08179
     0.73804   -0.07573
     0.75464   -0.06906
     0.77124   -0.06189
     0.78785   -0.05450
     0.80449   -0.04731
     0.82121   -0.04067
     0.83799   -0.03472
     0.85486   -0.02943
     0.87175   -0.02086
     0.88859    0.03466
     0.90532    0.06894
     0.92184    0.08355
     0.93792    0.09110
     0.95323    0.10150
     0.96749    0.12436
     0.98040    0.16210
     0.99165    0.20721
     1.00000    0.30139
